id,sender,receiver,amount,conducted_on,notes
129,"Wisoky, VonRueden and Thompson",Val Verde,627578,2024-01-28 05:44:01,
130,"Connelly, Kuvalis and Zieme",Val Verde,978885,2024-05-11 05:39:48,
131,Mosciski LLC,Val Verde,249273,2024-08-31 03:01:36,
132,"White, Orn and Rempel",Val Verde,768804,2024-10-07 16:36:34,
133,Grimes-Monahan,Val Verde,317926,2024-08-14 00:40:43,
134,Goyette LLC,Val Verde,662356,2024-10-08 00:34:16,
135,Wehner Group,Val Verde,387381,2024-09-04 19:50:49,
136,"Feil, Runolfsson and Volkman",Val Verde,317770,2024-07-05 07:33:35,
137,"Green, Goldner and Morissette",Val Verde,678100,2024-03-20 07:54:45,
138,Upton Inc,Val Verde,593472,2024-03-22 06:51:57,
139,Miller LLC,Val Verde,799100,2025-02-28 20:12:33,
140,"Schamberger, Quitzon and Mraz",Val Verde,765593,2024-10-29 19:40:54,
141,"Blanda, Grant and Stracke",Val Verde,888900,2024-08-21 12:20:17,
142,Stark Group,Val Verde,417128,2024-06-30 22:58:36,
143,"Schiller, Runolfsson and Swaniawski",Val Verde,592905,2024-01-02 08:39:39,
144,Hudson-Kunde,Val Verde,718864,2024-08-11 22:30:11,
145,"Dickinson, Kuhlman and Gislason",Val Verde,643442,2024-12-19 18:58:58,
146,Hackett and Sons,Val Verde,199519,2024-07-29 12:06:54,
147,Ritchie-Hills,Val Verde,964139,2024-05-19 17:12:32,
148,"Terry, Dare and Keeling",Val Verde,249611,2024-10-10 02:19:00,
149,Pagac-Stark,Val Verde,552571,2024-06-21 11:29:00,
150,Schaefer Group,Val Verde,102473,2025-01-23 13:39:08,
151,Walsh and Sons,Val Verde,557599,2024-09-13 21:19:35,
152,Towne-Quigley,Val Verde,171474,2024-05-24 17:54:49,
153,Braun-Kerluke,Val Verde,109355,2024-07-05 12:19:18,
154,Gulgowski Group,Val Verde,112300,2024-10-29 13:44:24,
155,"Quitzon, Hyatt and Feil",Val Verde,222126,2024-09-08 04:48:16,
156,Wehner-Hudson,Val Verde,963390,2025-02-21 11:49:18,
157,Gutmann Group,Val Verde,871429,2025-02-21 22:27:08,
158,"Bogisich, Cole and Daniel",Val Verde,850456,2024-09-02 19:12:50,
159,Morar LLC,Val Verde,943411,2025-05-09 06:17:03,
160,"Gulgowski, Labadie and Volkman",Val Verde,410772,2024-07-26 13:07:04,
161,"Hoppe, Gulgowski and Bednar",Val Verde,252538,2025-02-03 15:08:29,
162,"Heathcote, Wilderman and Yost",Val Verde,893086,2025-02-15 06:04:24,
163,Osinski-Botsford,Val Verde,902158,2025-01-24 00:16:01,
164,Mraz-Schinner,Val Verde,453855,2024-05-20 11:06:04,
165,Hahn-Kunze,Val Verde,828812,2025-03-13 13:27:40,
166,"Collins, Haley and Hodkiewicz",Val Verde,488103,2025-01-06 16:29:56,
167,"Fadel, Blick and Hessel",Val Verde,984661,2025-03-28 15:58:17,
168,Emard Inc,Val Verde,214102,2024-07-26 02:47:16,
169,"Schuppe, Johnston and Runte",Val Verde,595591,2024-06-30 05:19:33,
170,"Bernier, Zieme and Wilderman",Val Verde,341018,2024-09-11 22:17:31,
171,"Morissette, Ziemann and Haley",Val Verde,821849,2024-09-17 01:08:08,
172,Marquardt Group,Val Verde,745991,2024-04-09 12:19:18,
173,Baumbach and Sons,Val Verde,585562,2025-01-11 00:32:49,
174,"Legros, Borer and Hudson",Val Verde,449667,2024-07-11 02:04:30,
175,Gerlach-Dicki,Val Verde,218977,2024-05-20 13:36:00,
176,"Waters, Considine and Farrell",Val Verde,876583,2024-02-16 08:09:42,
177,"Legros, Gusikowski and Gutkowski",Val Verde,102021,2024-05-09 16:42:38,
178,Sauer-Sporer,Val Verde,531642,2024-04-28 19:03:29,
179,Jaskolski-Schowalter,Val Verde,804262,2025-01-01 20:57:06,
180,"Nolan, Flatley and Greenholt",Val Verde,774871,2024-08-22 09:49:07,
181,Pollich-Hand,Val Verde,823503,2025-02-19 22:21:01,
182,Schuster-Conn,Val Verde,345034,2024-12-16 13:51:44,
183,"Rohan, Fay and Donnelly",Val Verde,376025,2024-11-20 01:35:52,
184,Johnson-Langosh,Val Verde,701385,2024-06-29 09:41:10,
185,Fisher and Sons,Val Verde,300635,2024-08-27 00:57:36,
186,"Torphy, Wilkinson and Conn",Val Verde,753563,2025-02-10 13:54:54,
187,Renner and Sons,Val Verde,782829,2024-09-05 12:14:03,
188,Mante Inc,Val Verde,962219,2025-03-24 00:47:09,
189,Hessel Group,Val Verde,822089,2025-05-24 08:40:23,
190,Goodwin Inc,Val Verde,807862,2024-09-01 22:38:11,
191,Beier-Koepp,Val Verde,559570,2025-04-06 14:32:25,
192,"Larson, Lehner and Brakus",Val Verde,180283,2025-05-07 02:56:58,
193,Ward and Sons,Val Verde,938432,2024-09-28 20:30:26,
194,"Kautzer, Nikolaus and Steuber",Val Verde,342286,2024-04-19 06:45:37,
195,Pacocha-Corkery,Val Verde,548779,2025-01-28 12:56:32,
196,Wunsch Inc,Val Verde,899770,2024-12-04 01:07:01,
197,Quitzon-Heller,Val Verde,941484,2024-08-21 00:27:19,
198,Wintheiser Inc,Val Verde,809980,2024-02-09 08:19:30,
199,"Watsica, Medhurst and Rohan",Val Verde,291318,2024-11-20 08:38:53,
200,Quitzon Group,Val Verde,947401,2024-02-15 12:43:28,
201,Barton Group,Val Verde,294026,2024-04-24 13:35:39,
202,Gibson-Veum,Val Verde,604550,2024-10-22 17:06:18,
203,Hackett-Orn,Val Verde,344003,2025-03-04 07:41:48,
204,Schulist-Padberg,Val Verde,378952,2024-01-03 21:08:02,
205,Hoppe Inc,Val Verde,739571,2025-04-27 20:57:05,
206,"Turner, Fadel and Heller",Val Verde,384373,2024-02-21 01:40:36,
207,Rutherford-Bogan,Val Verde,384935,2025-04-02 19:35:54,
208,Abernathy-Veum,Val Verde,287495,2024-05-10 06:23:07,
209,Rempel Inc,Val Verde,512651,2025-01-19 09:40:18,
210,Larson LLC,Val Verde,974171,2024-11-23 16:42:06,
211,Carter LLC,Val Verde,330976,2024-07-15 04:18:54,
212,Schowalter-Hagenes,Val Verde,801904,2025-01-12 15:47:04,
213,Wolf-White,Val Verde,578220,2024-09-26 03:33:09,
214,Toy-Johnson,Val Verde,575566,2024-10-01 12:26:00,
215,Zulauf Inc,Val Verde,901937,2025-05-11 10:39:30,
216,Reichert LLC,Val Verde,963469,2024-03-14 21:43:38,
217,"Dicki, Stamm and Kihn",Val Verde,911665,2025-03-05 00:53:37,
218,Walsh-Jacobs,Val Verde,307955,2024-07-15 21:06:49,
219,Bernier LLC,Val Verde,846095,2024-03-03 11:03:21,
220,Hettinger Inc,Val Verde,998876,2025-02-27 18:33:34,
221,Nader-Pfannerstill,Val Verde,936480,2024-11-07 12:35:07,
222,Walter-Hackett,Val Verde,526781,2024-12-30 21:19:17,
223,Cummerata-Jenkins,Val Verde,795329,2025-03-21 09:27:53,
224,Wuckert-Johnston,Val Verde,162844,2024-09-23 11:52:04,
225,"Luettgen, Ledner and Krajcik",Val Verde,455419,2025-05-16 09:48:44,
226,Runolfsdottir LLC,Val Verde,958318,2025-03-08 13:23:41,
227,"Sauer, Botsford and Ledner",Val Verde,731317,2025-03-11 22:28:29,
228,"Barrows, Thiel and Boyer",Val Verde,115768,2024-02-25 10:48:11,
229,"Kerluke, Dooley and Zboncak",Val Verde,308940,2024-12-23 22:44:42,
230,"Cronin, Homenick and Lowe",Val Verde,858176,2025-04-29 20:16:14,
231,Rempel and Sons,Val Verde,990163,2025-03-19 17:43:50,
232,"Carter, Rutherford and Hodkiewicz",Val Verde,981276,2024-11-28 11:59:17,
233,"Ullrich, O'Reilly and O'Reilly",Val Verde,769462,2024-04-27 05:40:03,
234,Roob and Sons,Val Verde,500262,2024-12-28 15:17:23,
235,Bechtelar and Sons,Val Verde,886630,2024-08-27 13:46:15,
236,"Hilll, O'Keefe and Roob",Val Verde,303944,2024-11-17 18:24:48,
237,Cole-Kuvalis,Val Verde,757925,2025-01-02 22:11:04,
238,Dooley-Dare,Val Verde,599083,2024-01-12 04:24:56,
239,"Bogan, Sporer and West",Val Verde,534340,2025-02-07 18:05:33,
240,Kling and Sons,Val Verde,998105,2024-07-20 14:15:18,
241,Hilll-Lubowitz,Val Verde,116460,2024-05-23 06:51:12,
242,Conn-Reinger,Val Verde,262025,2024-11-24 22:30:19,
243,Macejkovic LLC,Val Verde,314803,2024-06-05 00:46:44,
244,"Schroeder, Zieme and Hilll",Val Verde,687729,2024-09-27 03:58:06,
245,Rowe-Franecki,Val Verde,849396,2025-03-17 12:58:35,
246,Braun-Adams,Val Verde,335982,2024-09-26 17:53:12,
247,Hilll LLC,Val Verde,584384,2024-09-28 19:47:20,
248,Toy Group,Val Verde,966260,2024-11-22 22:40:11,
249,Brekke LLC,Val Verde,101749,2024-09-24 03:58:01,
250,Little-Wiegand,Val Verde,179254,2024-09-26 22:37:21,
251,Huel and Sons,Val Verde,771729,2024-07-13 13:40:17,
252,Hauck-Stanton,Val Verde,651975,2024-01-17 15:48:19,
253,Brakus LLC,Val Verde,679055,2025-05-20 00:29:50,
254,"Ritchie, Kessler and Green",Val Verde,743011,2024-07-07 09:31:43,
255,Gleichner Inc,Val Verde,267634,2024-09-26 22:52:53,
256,Bernier LLC,Val Verde,166789,2024-03-06 21:24:31,
257,Erdman-Hauck,Val Verde,333330,2024-10-28 11:50:45,
258,Reichert Group,Val Verde,943436,2024-08-15 01:13:38,
259,Ward Inc,Val Verde,245445,2025-04-22 01:57:32,
260,Brekke LLC,Val Verde,175543,2024-07-10 11:15:17,
261,"Gottlieb, Beahan and Beer",Val Verde,265262,2024-04-09 17:04:31,
262,Dicki-Rippin,Val Verde,484915,2024-06-04 01:51:37,
263,Corwin Group,Val Verde,434991,2024-02-20 00:59:49,
264,Erdman and Sons,Val Verde,134967,2024-02-29 00:52:18,
265,Koelpin Group,Val Verde,346936,2025-02-11 07:23:31,
266,Wolf-Mueller,Val Verde,676443,2024-01-19 07:42:17,
267,White Group,Val Verde,883327,2024-07-16 13:57:21,
268,Cronin-Rempel,Val Verde,866746,2025-03-20 05:13:05,
269,"Klocko, Bailey and West",Val Verde,448926,2024-02-05 05:11:19,
270,Cummings-Leffler,Val Verde,853156,2024-11-15 14:07:19,
271,Dickinson and Sons,Val Verde,202647,2024-11-18 21:41:10,
272,"Bruen, Bernhard and Blick",Val Verde,392409,2024-05-24 17:03:46,
273,"Kris, Herman and Schiller",Val Verde,487465,2024-03-07 00:24:56,
274,Skiles-Gibson,Val Verde,751537,2024-10-22 07:01:02,
275,Reynolds-Armstrong,Val Verde,124498,2024-01-25 07:34:30,
276,"Balistreri, Williamson and Zieme",Val Verde,432680,2024-12-23 20:35:44,
277,Prosacco and Sons,Val Verde,250252,2024-02-06 16:54:30,
278,"Schoen, Schuster and Turcotte",Val Verde,211185,2024-02-08 06:41:40,
279,O'Reilly-Hansen,Val Verde,728216,2024-12-25 21:11:33,
280,"Flatley, Stanton and Nikolaus",Val Verde,275408,2024-12-09 06:31:02,
281,Stoltenberg and Sons,Val Verde,863762,2024-03-26 13:04:21,
282,"Rath, Strosin and Ondricka",Val Verde,865990,2024-03-23 12:55:31,
283,Ankunding-Wyman,Val Verde,813223,2024-06-29 03:29:39,
284,"Dare, Flatley and Kutch",Val Verde,664704,2024-03-19 11:10:31,
285,Brown Inc,Val Verde,732080,2024-09-30 22:11:46,
286,Rogahn-Koch,Val Verde,230299,2025-04-30 08:47:29,
287,"Feest, Heller and Baumbach",Val Verde,439991,2024-03-18 20:42:16,
288,Williamson-Feil,Val Verde,768932,2024-11-26 04:18:08,
289,"Marquardt, Buckridge and Cole",Val Verde,272663,2024-11-24 01:07:19,
290,Schinner Inc,Val Verde,874268,2024-09-16 17:58:21,
291,Thiel LLC,Val Verde,804534,2024-12-27 16:11:29,
292,Koepp-Gutmann,Val Verde,775743,2024-07-18 16:07:29,
293,Wilderman Inc,Val Verde,824552,2024-11-27 03:20:30,
294,"Lakin, Johns and Morar",Val Verde,566369,2024-04-22 09:31:16,
295,Casper and Sons,Val Verde,177254,2024-03-11 07:55:27,
296,Klein-Connelly,Val Verde,336855,2025-03-21 11:42:38,
297,Jenkins LLC,Val Verde,227726,2024-12-09 01:08:08,
298,Feeney LLC,Val Verde,417879,2024-11-02 05:44:19,
299,Bednar LLC,Val Verde,712390,2024-06-05 01:44:19,
300,"Muller, Braun and Douglas",Val Verde,264680,2024-10-08 04:46:44,
301,Wolf Group,Val Verde,240151,2024-03-03 02:53:54,
302,Crist-Walker,Val Verde,692479,2024-07-19 20:47:20,
303,"Krajcik, Johnston and Bauch",Val Verde,292276,2025-02-17 21:04:22,
304,Parisian-Batz,Val Verde,548374,2024-07-27 21:46:38,
305,Weimann-Goodwin,Val Verde,973570,2025-01-02 20:31:34,
306,Waters Group,Val Verde,912679,2024-11-10 19:14:40,
307,Zulauf-Goyette,Val Verde,199926,2025-02-17 06:36:44,
308,"Wyman, Stark and Kuhn",Val Verde,794058,2025-04-05 06:56:20,
309,Reichel-Ward,Val Verde,748238,2024-02-22 03:21:13,
310,"Gislason, Hermiston and Crona",Val Verde,770357,2025-05-04 01:22:58,
311,"Runte, Jacobson and Hessel",Val Verde,291360,2024-06-02 09:14:43,
312,Franecki and Sons,Val Verde,550242,2024-05-04 18:01:53,
313,Heaney-Jacobson,Val Verde,441725,2024-07-31 19:08:17,
314,"Grady, Rolfson and Hermann",Val Verde,384183,2024-10-22 16:25:37,
315,VonRueden LLC,Val Verde,644851,2024-04-04 21:48:21,
316,"Conroy, Lubowitz and Christiansen",Val Verde,485793,2025-01-17 18:22:38,
317,Emmerich-Lesch,Val Verde,374992,2024-10-03 02:37:53,
318,Mueller and Sons,Val Verde,969119,2024-09-12 04:23:08,
319,Quigley Inc,Val Verde,477263,2025-04-02 04:16:46,
320,Johnson-Swift,Val Verde,868404,2025-05-01 00:03:46,
321,Pagac Inc,Val Verde,743355,2024-01-06 10:35:30,
322,"Davis, Beer and Abernathy",Val Verde,990001,2024-08-31 17:59:06,
323,Medhurst LLC,Val Verde,822704,2024-06-19 21:58:38,
324,"Schmitt, Pfeffer and Bernier",Val Verde,599222,2024-06-22 20:20:08,
325,Hills and Sons,Val Verde,698860,2024-06-06 14:55:28,
326,"Morar, Dicki and Schneider",Val Verde,643619,2024-03-12 10:22:09,
327,Larson LLC,Val Verde,173731,2024-12-04 04:50:52,
328,"Jenkins, Rempel and Pfannerstill",Val Verde,560616,2025-01-04 17:02:09,
329,Watsica Inc,Val Verde,533630,2024-07-01 08:33:59,
330,Feil-Gottlieb,Val Verde,682221,2024-01-02 03:39:12,
331,"Hoeger, Daugherty and Koch",Val Verde,610647,2024-11-14 20:36:02,
332,"Pollich, Batz and Hickle",Val Verde,180890,2024-06-26 05:35:48,
333,"Heathcote, Auer and Olson",Val Verde,816552,2024-11-10 18:39:15,
334,Yost-Flatley,Val Verde,221229,2024-07-08 00:22:28,
335,Leuschke-Paucek,Val Verde,523288,2024-09-21 12:57:17,
336,Walter-Hermiston,Val Verde,708493,2024-11-02 05:09:12,
337,Hand LLC,Val Verde,549111,2024-04-18 07:53:27,
338,McGlynn-Reichert,Val Verde,998035,2024-03-22 16:37:49,
339,Stamm-Harvey,Val Verde,353162,2024-11-01 07:15:01,
340,Bartell-Towne,Val Verde,978759,2024-04-30 05:11:17,
341,Schneider Inc,Val Verde,351674,2024-11-13 09:43:20,
342,Ryan-Hoppe,Val Verde,158428,2025-05-06 01:27:23,
343,Kihn Inc,Val Verde,632515,2024-02-18 00:21:04,
344,Johnson-Kihn,Val Verde,497173,2024-03-18 06:20:20,
345,"Huel, Friesen and Wolff",Val Verde,563226,2024-12-24 11:48:44,
346,Reynolds-Bednar,Val Verde,881673,2024-05-16 00:23:42,
347,Crist and Sons,Val Verde,344764,2024-01-22 22:02:07,
348,"Mertz, Strosin and Cassin",Val Verde,788549,2024-02-09 08:46:13,
349,Bernier and Sons,Val Verde,800535,2025-05-03 17:30:18,
350,Lang-Bernier,Val Verde,169343,2024-10-24 14:02:49,
351,Howe and Sons,Val Verde,733328,2025-03-28 04:01:39,
352,Rohan Group,Val Verde,550061,2024-08-08 03:15:02,
353,"Osinski, Cartwright and Luettgen",Val Verde,813335,2025-01-16 02:13:28,
354,Hodkiewicz and Sons,Val Verde,335132,2025-03-01 15:08:22,
355,Carter-Hand,Val Verde,780440,2025-05-10 18:12:58,
356,Boyer Group,Val Verde,622293,2024-02-20 19:29:06,
357,Daugherty and Sons,Val Verde,320441,2025-01-12 09:29:47,
358,Lockman-Dicki,Val Verde,216418,2024-11-30 06:28:04,
359,Sauer LLC,Val Verde,681532,2025-04-03 11:55:52,
360,"Ullrich, Moen and Rowe",Val Verde,810155,2024-12-08 11:52:24,
361,Quigley-Murphy,Val Verde,183755,2024-06-17 00:49:27,
362,"Kshlerin, Hodkiewicz and Klocko",Val Verde,596570,2024-12-04 03:08:14,
363,"Glover, Jerde and Tremblay",Val Verde,482856,2024-09-06 13:49:24,
364,"Toy, McDermott and Krajcik",Val Verde,643256,2024-07-29 23:31:39,
365,Dach-Labadie,Val Verde,654159,2024-03-14 23:24:53,
366,Schumm-Franecki,Val Verde,631292,2024-05-20 00:34:06,
367,"Bogan, Brekke and Cormier",Val Verde,368547,2025-04-30 10:46:53,
368,Larkin-Mayert,Val Verde,829625,2024-05-23 09:15:04,
369,Tillman-Kutch,Val Verde,248546,2025-01-25 07:14:11,
370,Bogisich-McClure,Val Verde,884497,2025-01-24 06:00:39,
371,Osinski-Hauck,Val Verde,841509,2025-04-04 08:10:13,
372,Hermiston-Ziemann,Val Verde,951220,2024-03-12 06:41:10,
373,Hyatt-Hayes,Val Verde,216366,2024-08-13 17:23:28,
374,"Jast, Borer and Abshire",Val Verde,358030,2025-01-17 00:25:29,
375,Lakin-Abshire,Val Verde,144681,2024-05-02 09:15:04,
376,Armstrong Group,Val Verde,305954,2025-04-17 11:04:38,
377,Towne Inc,Val Verde,697670,2024-08-31 19:13:25,
378,Lueilwitz Group,Val Verde,895860,2024-04-22 23:08:34,
379,Klocko Group,Val Verde,982540,2024-08-16 05:29:51,
380,Weber Group,Val Verde,271161,2024-12-23 10:05:02,
381,"Gusikowski, Wilderman and Wuckert",Val Verde,158250,2024-06-30 20:39:52,
382,"Halvorson, Mayer and Hauck",Val Verde,200471,2024-01-21 00:51:24,
